标题,价格,地址
紫辰院,110000元/㎡,西四环中路112号
中铁诺德春风和院,67702元/㎡,白盆窑六圈路和樊羊路交汇处东南
万科·雲庐,42289元/㎡,泉湖西路与山湖路交汇处(青龙湖公园东门...
葛洲坝北京中国府,113000元/㎡,"丽泽桥西南侧,紧邻丽泽商务区"
国风长安云棠,2500万元/套起,莲石路与小屯路交叉口国风长安营销中心
翡翠西湖,370万元/套起,泉湖西路与山湖路交汇处(青龙湖公园东门...
诺德逸府,67702元/㎡,樊羊路与六圈南路交汇处往南50米
金融街·融府,66555元/㎡,泥洼中路
京投发展·臻御府,67702元/㎡,西南四环·总部基地·郭公庄地铁站
西城天铸,640万元/套,丽泽桥西北角
电建地产·洺悦苑,61881元/㎡,马家堡路公益桥北50米
泰禾金府大院,84000元/㎡,南四环新宫地铁站南800米
橡树澜湾,54000元/㎡,西四环莲石东路与鲁谷东大街交叉口南90...
燕西华府,380万元/套起,桥西500米
保利·和光逸境,89890元/㎡,西四环中路83号
佑安府,3200万元/套起,西南二环右安门外西铁营万达广场东侧
龙湖·西宸广场,300万元/套起,10号线首经贸地铁站b口
北京金茂府,105000元/㎡,宋家庄站向南200米
泰禾西府大院,113000元/㎡,"西三环丽泽桥西北角,玉璞公园东侧"
中粮天恒·天悦壹号,82000元/㎡,南四环地铁新宫站南500米
