标题,价格,地址
亦庄·臻珑府,价格待定,经济技术开发区经海七路与科创十街交汇...
雅居乐京华雅郡,价格待定,四海路与合海街交叉口
金悦府,47000元/㎡,义和庄地铁站北600米
金地旭辉·江山风华,55800元/㎡,地铁4号线清源路站西侧800米(北京小学大...
中铁华侨城·和园,55000元/㎡起,五环南海子公园西
中海云筑,37000元/㎡,庞各庄桥西1500米
林肯时代,420万元/套,荣京西街(荣京东街地铁站西600米)
中海云熙,280万元/套起,魏善庄镇南中轴龙建路东500米
中国铁建·国际公馆,300万元/套起,经济技术开发区河西区四合路与兴海一街...
中国铁建·花语府,66000元/㎡,南海子公园西侧(南五环旧忠桥向南第二个...
国韵村,75000元/㎡,"南四环榴乡桥南,蒲黄榆路东"
中海寰宇时代,260万元/套起,地铁8号线瀛海站北200米
首创远洋·禧瑞天著,52695元/㎡,科创十一街与经海九路交汇处西南角(亦庄...
北京城建·北京密码,25000元/㎡,魏善庄镇龙江路北侧200米处
首开万科中心,32000元/㎡,地铁4号线义和庄站d口旁
住总如院,300万元/套起,采育镇采华路南端住总·如院售楼处
亦庄金茂府,1300万元/套,亦庄经济开发区博兴西路与泰河三街交叉...
金隅学府,52695元/㎡,博兴十路与兴海路交叉口
国锐·金嵿,78000元/㎡,荣华中路与荣京西街交汇处西南角
首开保利·熙悦林语,52315元/㎡,南五环与德贤路交叉口东南侧200米(旧忠...
