标题,价格,地址
北京华发·中央公园,41000元/㎡,地铁良乡大学城站南约900米
首开·熙悦观湖,37245元/㎡,青龙湖
中国铁建·山语澜廷,32000元/㎡,闫吕路中段
长阳光和作用,35800元/㎡,长阳镇京良路西营路口向北900米
九洲溪雅苑,29000元/㎡,京港澳高速京良路长阳出口(19b出口)长阳...
中海金樾和著,34000元/㎡,良常路官道路口西800米
万科七橡墅,333万元/套起,燕房线周口店镇站北约800米
天恒·水岸壹号,48000元/㎡起,西五环·大学城西站南约800米
中粮·京西祥云,58000元/㎡,房山线稻田站北行800米处
世界名园,21000元/㎡,京港澳高速窦店出口即达
天资华府,45000元/㎡,csd商务大厦东侧
房山超级蜂巢,25000元/㎡,地铁房山线苏庄站向南700米
远洋新街口,45000元/㎡,良乡大学城地铁站东约400米
金隅金林嘉苑,26000元/㎡,超级蜂巢东侧
水墨林溪,17700元/㎡,大窦路与阎周路交叉口西北向50米
天恒·京西悦府,38000元/㎡,京港澳高速阎村出口西行约1.5公里
天恒·摩墅,370万元/套起,周口店镇政府东
V7荷塘月色,28000元/㎡,长沟湿地公园南700米
天恒乐墅,750万元/套起,阎村镇紫码路西行1500米
房山超级蜂巢,24000元/㎡,地铁苏庄站向南700米
