标题,价格,地址
未来金茂府,700万元/套起,北五环未来科学城南区英才南三街与蓬莱...
中海丽春湖墅,470万元/套起,地铁昌平线沙河地铁站南600米
金辰府,价格待定,北七家镇政府正南
萬橡悦府,54197元/㎡,京藏高速与北清路交汇东两公里
京投发展·公园悦府,58500元/㎡,回南北路与科星西路交汇路口处
万科·天空之城,42000元/㎡,回龙观镇北郊农场桥西
花雨汀,36000元/㎡起,邻京藏高速(g6)
翡翠公园,2000万元/套起,中兴路17号
凯德麓语,27000元/㎡,"北五环京承高速07出口西,七星路与七北路..."
首开国风美唐,61000元/㎡,京承高速g11出口向西怀昌路北侧
华润·理想国,430万元/套起,地铁8号线或13号线霍营站北侧300米
和悦华玺,399万元/套起,立汤路与北清路交叉点向东800米
东方蓝海中心,57000元/㎡,立汤路与北清路交汇·向东800米
北京壹号庄园,5000万元/套起,未来科技城南区内科技城路与南区一路交...
金隅上城郡,800万元/套,北七家定泗路88号
信达·国子郡,380万元/套起,北亚花园东路
华润·未来城市,61000元/㎡,北沙河高教园北二街与北沙河西三路交汇...
北科建泰禾·丽春湖院子,1000万元/套起,未来科学城
国瑞熙墅,1400万元/套,西北五环外沙河地铁站向南800米处丽春湖...
中海丽春湖墅·SMART墅,660万元/套起,北七家镇定泗路与七北路交叉口东行200米
,,地铁昌平线沙河地铁站南600米
