标题,价格,地址
禧瑞春秋,68924元/㎡,京密路与顺黄路交叉路口西南方向1000米
壹·亮马,98000元/㎡,将台乡驼房营村
利锦府,85000元/㎡,东坝中街与东坝中路交汇处
梵悦·108,150000元/㎡,国贸桥东南角建国路乙108号
中海枫丹公馆,100798元/㎡,通惠河北路69号院(朝阳建国门桥东南100...
丽都悦府,价格待定,将台西路10号
北京书院,111797.62元/㎡,北土城东路北京书院
绿地金融中心,150000元/㎡,霄云里南街霞光里12号
华樾北京,78148元/㎡,"望京核心区,地铁14号线善各庄站"
合生·霄云路8号,5500万元/套起,霄云路8号
锦安家园,37000元/㎡,驹子房村
和光尘樾,79500元/㎡,东坝第四使馆区东五环七棵树出口向东3公...
首城珑玺,1600万元/套起,五环七棵树出口北行300米
泰禾北京院子二期,1150万元/套起,地铁15号线孙河站向西800米(北京院子一...
北京壹号院,170000元/㎡,农展馆北路8号
瑞悦府,600万元/套起,黄康路北侧
泰禾·北京公馆,价格待定,东四环中路58号
东山condo,160000元/㎡,东四环北路七号
恭和家园(养老社区),420万元/套起,双园路19号院
绿地中心海珀云庭,95000元/㎡起,阜通东大街(保利万和影院北100米)大望京...
