标题,价格,地址
北京城建·世华龙樾,82600元/㎡,清河小营桥东700米
山屿·西山著,53000元/㎡,温泉镇太舟坞
大苑海淀府,价格待定,"田村路与田村东路交汇口往西300米,田村..."
葛洲坝北京紫郡兰园,48850元/㎡起,北清路屯佃地铁站向南约2千米
西钓鱼台·御玺,117500元/㎡,西钓鱼台嘉园北门东侧200米
首创天阅西山,80000元/㎡,"永丰路与北清路交汇处东北角,中关村壹号..."
金隅·金玉府,78900元/㎡,阜石路与上庄大街交汇处东南200米
万科·翠湖国际,43000元/㎡,忍冬路与景天路交叉口东50米
中铁碧桂园,35000元/㎡,永丰产业基地西北旺镇
冠城大通百旺府,74000元/㎡,北清路永丰产业基地东侧
万科翡翠云图,53000元/㎡,翠湖科技园东南侧
香山四季,105000元/㎡,四季青桥向西1.8公里(第四个红绿灯右转...
强佑·府学上院,74500元/㎡,八达岭高速清河桥西南角
世茂西山龙胤,4000万元/套起,南沙河西路上庄大桥南口向西800米
恒盛·欧洲公馆,85000元/㎡,金沟河路16号
中关村翠湖科技园-云中心,29800元/㎡,温泉镇北清路和温阳路西南角
融汇国际大厦,85000元/㎡,高梁桥斜街42号
G-PARK龙湖·云域,价格待定,北清路与稻香湖路十字路口西南角
万科翡翠书院,15000元/套.月起,北清路与永澄北路交汇处北1000米处
