标题,价格,地址
首开香溪郡,42000元/㎡,宋庄镇荷香2号院首开香溪郡售楼处
通州万国城MOMA,70000元/㎡起,"玉桥西路与运河西大街交汇处,通州区青少..."
城市之光·东望,51585元/㎡,东五环化工桥向东京津高速第一出口通马...
泰晤士·运河东棠,32000元/㎡起,京哈高速郎府出口南侧约300米
禹洲朗廷湾,价格待定,永顺镇tz-0104-6002等地块位
北京·东湾,68500元/㎡,"长安街东延长线—新华大街向北500米,通..."
东亚尚品台湖,35000元/㎡,台湖镇辅外路(北京国际图书城北侧)
首开万科·云创天地,30000元/㎡,东五环化工桥向东京津高速第一出口通马...
台湖金茂悦,51585元/㎡,环渤海总部基地北侧
世界侨商中心,181万元/套起,京通快速北关桥东南角
K2十里春风,28100元/㎡,永乐店小甸屯村百莱玛工业园对面
复地中心,60000元/㎡,通州运河核心区
格拉斯小镇,1300万元/套起,宋庄镇格拉斯小镇营销中心
运河铭著,45000元/㎡,永顺镇榆东一街
珠江四季悦城,35000元/㎡,地铁亦庄线经海路地铁站东南侧三公里
中睿城,28000元/㎡,光机电一体化产业园区科创东二街5号
融御,价格待定,通胡大街与桦秀路交叉口南行200米
首开缇香郡,249万元/套,于家务乡京津高速与通房路交叉口
万科大都会滨江,65000元/㎡,"核心区,地铁6号线通州北关站北侧"
新光大中心-ArtPark9,60000元/㎡,滨惠北一街
