标题,价格,地址
丽景长安,740万元/套起,永定镇石龙西路与三石路交叉口向西200米...
京投发展·檀香府,50000元/㎡,莲花池西路西延线潭柘寺隧道出口北侧
西长安壹号,40000元/㎡起,石龙北路62号邮政储蓄南100米西长安壹号...
长安天街,350万元/套起,"长安街西沿线,地铁s1线上岸站"
合景领汇长安,360万元/套起,地铁s1号线桥户营站旁350米
西山燕庐,60000元/㎡起,永定镇长安街西延线南约500米
远洋长安国际中心,335万元/套起,泰安路13号
华远·裘马四季,65000元/㎡,"龙泉镇新桥大街西侧,区政府正对面"
电建·金地华宸,64000元/㎡,"西长安新城,长安街西延线南侧约500米"
中骏·天峰,53000元/㎡,s1号线地铁桥户营站a口旁
中骏·西山天璟,65000元/㎡,西山·永定楼北300米
翡翠长安,62000元/㎡,美安路与龙兴南二路交叉点向北500米路西
长安壹号,110000元/㎡,永定镇冯西园
华润置地西山墅,840万元/套起,"长安街西沿线,距莲石路1.5公里,距阜石路..."
西山艺境·华墅,1200万元/套起,阜石路双峪路口西800米路南
北京城建·龙樾西山,550万元/套起,长安街西延线南约300米
中昂时代广场,38000元/㎡,门头沟路11号院
华萃西山,699万元/套起,永定镇地铁s1号线石厂站西南700米
永泰·西山御园,59000元/㎡,阜石路双峪环岛北永定楼西北200米
首开保利欢乐大都汇,60000元/㎡起,永定镇石门营环岛北侧
