标题,价格,地址
国誉府,43467元/㎡,马坡镇白马路与坤安路交叉口南1000米
橡树珑湾,36000元/㎡起,白马路与通顺路交叉口西南角
金茂北京国际社区,150万元/套起,水色时光西路西侧
建邦·顺颐府,465万元/套起,中央别墅区后沙峪
北京城建·北京合院,1000万元/套起,燕京街与通顺路交汇口东800米(仁和公园...
诺德阅墅,62102元/㎡,后沙峪中央别墅区
ID-PARK艾迪公园,80万元/套起,双河大街与顺南路西北角
俪乔公馆,68000元/㎡,机场高速杨林出口西200米
空港ONE+,75万元/套起,临空经济核心区南法信地铁站南300米
观承别墅大家,1550万元/套起,京承高速8号出口路东
首开富力·十號国际,26000元/㎡,京承高速未来科学城出口向北2公里
金隅上城庄园,2700万元/套起,后沙峪镇峪东路9号
迈宇平墅,823万元/套起,石园北区东北角
观承别墅八峰,4900万元/套起,京承高速8出口路东
恒大丽宫,13000万元/套起,机场高速杨林出口西行约800米
祥云赋,475万元/套起,京承高速6出口(中央别墅区)罗马环岛北8...
旭辉26街区,120万元/套起,临空经济核心区南法信地铁站南约700米
国门智慧城,36000元/㎡,后沙峪枯柳树环岛西100米国门一号西侧
尚峯壹號,38000元/㎡,中央别墅区北区京承高速第11出口
东港·鑫座,18000元/㎡,南法信镇顺平路与南焦路交口处
